TitleEng,TitleRus,Genre,Story,Rating
Chang Ge Xing,Путешествия Чан Гэ,Драма Исторический Приключения Романтика Сёдзе Сейнен Сёнен Смена пола Экшен ," Китайская династия Тан (618-907). Проклятая комета пересекает небосвод, злой рок вот-вот обрушится на аристократическую семью Тан. Принцесса Чан Гэ Ли вынуждена покинуть замок после того, как погибает её семья. Она ещё молода, а поэтому может родить сына-наследника и стать отличным военным стратегом. Во время путешествия благодаря своим умениям и красноречию она находит сильных и смелых союзников, верных товарищей. Всё это — ради того, чтобы защитить свою семью и отомстить заклятым врагам. ",10.0
Into the Net!,В Кольцо!,В цвете Комедия Романтика Сёнен Спорт Школа ," Лу И Фань — юный баскетболист, который успешно закончил среднюю школу, заполненную хулиганами и поступил в старшую школу, полагая, что он сбежал от них. Но кто бы знал, что баскетбольная команда в его новой школе состоит из местных хулиганов? ",6.81
Chong Sheng - Resurrection,Чун Шэн - Воскрешение,В цвете Драма Научная фантастика Сёнен Фантастика Фэнтези Экшен ," Ван Хуань, ветеран-наемник, которому поручили важную миссию, он должен ликвидировать главу Линь Групп. Пройти защиту не составляет для него труда. В самый последний момент появляется дочь босса и Ван Хуань ненароком убивает её. Тут же начинается перестрелка с обезумевшим отцом, но тот в конечном итоге погибает. Хоть миссия и выполнена, но информатор отказывается от услуг Вана, потому что девушка не должна была умереть, и тот сам оказывается под прицелом. Действительно ли Ван попал в заранее подготовленную Ли Инем ловушку и теперь будет непременно убит... или нет? ",7.14
The Dog Man,Собачник,В цвете Веб Научная фантастика Психологическое Сёнен Триллер Ужасы ," Приквел к фантастическому триллеру ""Улей""! Мир, захваченный насекомыми. И собачник, ставший свидетелем того, как всё начиналось, и как закончилось. ",8.92
Isekai Death Game ni Tensou sarete Tsurai,Тяжело быть перенесённым в смертельную игру в другом мире,Комедия Романтика Сверхъестественное Сейнен Фэнтези Этти ," Главный герой по имени Хими - простой офисный работник. Однажды из-за усталости и стресса он пожелал умереть. Внезапно явился Бог Смерти Мэй и перенес его в другой мир, где заставил участвовать в ""Игре Шинигами"". В то время, как остальные участники были явно расстроенны, Хими возникал из-за нелепых правил. ",7.11
Doctor Elise: The Royal Lady with the Lamp,Королева со скальпелем,В цвете Веб Романтика Сёдзе Фэнтези ," В первой жизни она была ужасной королевой, навлёкшей на страну беды и, в конечном итоге, сожжённой своим королём на костре. Во второй жизни она стала талантливым хирургом, искупающим свою вину за прошлое, спасая людей. Но, из-за авиакатастрофы, талантливый хирург Сон Чжи Хён возвращается в свою первую жизнь! В этот раз она решает всё изменить, став врачом. ",9.01
Isekai Onsen ni Tensei shita Ore no Kounou ga Tondemosugiru,"Я был перерождён в виде горячего источника в альтернативном мире, и я слишком эффективен",Гарем Исекай Комедия Романтика Сёнен Фэнтези Этти ," Ученик средней школы Атами Кусацу на пути в сельский горячий источник, встречает трагическую аварию по пути и умирает, но он перевоплотился как горячий источник в фантастической Вселенной. В этом мире, у сжиженного Атами, оказывается, есть замечательные физические, магические и лечебные свойства, и вскоре его начинают регулярно посещать красивая эльфийка-авантюрист Латисия, пышногрудая жрица Куму, и маленькая деревенская глава Чичику. ",7.05
Seduce the Villain's Father,Соблазнить отца злодея,В цвете Веб Драма Комедия Приключения Романтика Сёдзе Фэнтези ," После аварии я проснулась в теле одной из героинь моей любимой веб-новеллы, но я перенеслась в новеллу до основных событий, где пока есть только родители главных героев. Чтобы предотвратить череду событий, я пытаюсь остановить похищение сестры, которая уже беременна главной героиней. Но вместо этого похищают меня! Я вот-вот умру из-за того, что моё тело не может справиться с маной в нём, но когда я встречаюсь с императором-похитителем, то рядом с ним мана успокаивается. Чтобы предотвратить свадьбу императора с ведьмой и убийство императора его будущим сыном, а также спасти себя от ужасной маны в моём теле, мы с императором должны пожениться. ",8.92
Appleseed,Яблочное зёрнышко,Научная фантастика Сёнен Фантастика ," В 2131 году человечество агонизировало после серии разрушительных мировых войн. Оазисом в мире хаоса и смерти стал супер-город Олимпус, сумевший с помощью мощной армии защититься от врагов и обеспечить горожанам экономическое процветание. Достигнуто это было за счёт создания новой расы клонированных людей, названных биороидами. Это не простые клоны, а усовершенствованные люди с отборными генами и контролируемыми эмоциями. Биороиды составляют 80% населения Олимпуса и благодаря высокому интеллекту контролируют большинство ключевых постов в городе. Это создаёт растущее недовольство людей, появляются подпольные группы фанатиков-террористов, готовых отдать жизнь ради идеалов свободы человечества. Профессиональные содаты Дюнан Натс и её напарник Бариариус, в своё время воевавшие на фронтах окружающего Олимпус кровавого хаоса, были привезены в город по проекту отбора человеческого материала и стали отличными офицерами полиции, верой и правдой служа в элитном спецотряде ESWAT, находящемся на переднем краю борьбы с врагами режима. С одной стороны, они благодарны системе за спасение из анархии, ценят прочный мир и сытое благополучие города. Но с другой стороны - чувствуют высокомерие и недоверчивость начальников-биороидов, где-то в душе соглашаясь с подпольщиками, что Олимпус - золотая клетка. Когда один из их товарищей по ESWAT переходит на сторону оппозиции, и над Олимпусом нависает смертельная опасность, Дюнан и Бриариус должны решить, с кем они... ",7.75
Isekai Cheat Magician,Маг-обманщик из другого мира,Гарем Драма Приключения Романтика Сверхъестественное Сёнен Фэнтези ," Тайчи и Рин были обычными школьниками, но лишь до тех пор, пока не исчезли в луче света. Очнувшись, они обнаружили, что попали в мир мечей и магии. Пережив атаку монстров и следуя предложению авантюристов, они присоединились к гильдии. Там они обнаружили, что обладают невероятно мощной магией. Таким образом, обычные ученики средней школы превратились в самых сильных магов... ",7.24
Martial Art Successor,Преемник боевых искусств,Боевые искусства В цвете Приключения Сёнен Фэнтези Экшен ," Каждый, когда был маленьким, хоть раз мечтал стать владеющим боевыми искусствами могучим героем, путешествовать по континенту, пролетая в небесах тысячи ли верхом на мече, прорывать оборону противника, нападая с воздуха, управлять внутренним ци, иметь тело, невосприимчивое к тысячам ядов… Это лишь легенда или такие вещи на самом деле бывают?Эта история расскажет вам о современном мире боевых искусств. ",5.94
Solmi's Channel,Канал Солми,В цвете Веб Научная фантастика Повседневность Романтика Хентай Этти ," Джин Су, инженер, специализирующийся на дополненной реальности, всегда мечтал творчески использовать технологии. Поэтому, когда стримерша Солми попросила его улучшить взрослый контент для своего шоу в прямом эфире, ему представилась возможность всей его жизни. У него, наконец, появляется достаточно денег для исследований и дизайна, будь то голографическая одежда, которая позволяет людям ходить где угодно. Присоединяйтесь к Каналу Солми с горячим, высокотехнологичным порно. ",8.64
Fukigen na Mononokean,Угрюмый Мононокэан,Комедия Сверхъестественное Сёнен Фэнтези ," Первую неделю в старшей школе Асия провел лежа в мед. кабинете из-за прицепившегося к нему ""ёкая"". В отчаянии парень обращается за помощью к владельцу Обители мононоке... Увлекательная история, полная мистики в компании весьма мрачного владельца Обители, отправляющего ёкаев в мир Ёми, начинается. ",8.94
TAL,ТАЛ,В цвете Веб Детектив Драма Комедия Приключения Психологическое Сверхъестественное Сёнен Фэнтези Экшен ," Странные слухи о том, что рядом с нами живут существа с нечеловеческими способностями, давно просочились в свет... Кто верит в эту чепуху? Летающие люди? Человек, способный убить лишь одним взглядом? Вампиры? Оборотни? Кто же они? Конечно, всё это глупые слухи... Наверное... ",7.26
Re: Zero kara Hajimeru Isekai Seikatsu: Daisanshou Truth of Zero,Re: Жизнь в альтернативном мире с нуля. Часть третья: Правда о «нуле»,Детектив Драма Исекай Комедия Приключения Романтика Сейнен Фэнтези Экшен ," На обратном пути из магазина ученик старшей школы Субару Нацуки внезапно оказался в параллельном мире. В первые же минуты пребывания он натыкается на бандитов, но его спасает загадочная серебряновласая девушка с котом-духом. Субару вызывается помочь ей найти украденную у неё эмблему. Но когда они находят похищенное, их обоих убивают. После этого Субару приходит в себя в том же месте, в котором оказался, попав в этот мир. Он понимает, что получил способность обращать время вспять в случае своей смерти и принимает решение спасти девушку от неминуемой смерти во чтобы то ни стало! Третья часть манга-адаптации ранобэ Нагацуки Таппэя “Re: Zero kara Hajimeru Isekai Seikatsu”, на сей раз от мангаки Мацусэ Даити. ",8.0
Goblin Slayer: Brand New Day,Убийца гоблинов: Совершенно новый день,Драма Комедия Приключения Сейнен Фэнтези Хентай Экшен ," В эту мангу, по совместительству являющейся адаптацией 4 тома ранобэ, войдёт сборник коротких историй из вселенной Убийцы Гоблинов. В томик ранобэ входит 10 глав, и пока неизвестно, будет ли манга продолжена, когда эти главы закончатся.Спин-офф манги Goblin Slayer (Убийца гоблинов) ",8.5
World Customize Creator,Мир Настроенный Создателем,Гарем Героическое фэнтези Игры Исекай Комедия Магия Приключения Романтика Сёнен Фантастика Фэнтези Экшен ," Тагами Юсуке жил самой обычной жизнью, бездельничал, играл..., как любой нормальный парень, но когда нибудь, спокойная, обычная жизнь, должна была закончиться , и так оно и стало..., не с того не с сего Тагами, очнулся в другом мире, подобном как в RPG игре, да еще его приняли за Злого Бога Бедствия... Что же дальше ждет Тагами? ",8.03
Under Observation: My First Loves and I,Под наблюдением: Моя первая любовь и я,В цвете Веб Гарем Комедия Романтика Сейнен Смена пола Хентай Этти ," Чанхи довольно бесхребетный и не смог отказать, когда у него просили в долг… чтобы исправить свое бедное положение он нашел отличную работу… да вот один нюанс, она только для женщин… однако ему повезло, что он довольно женоподобный… кто же знал, что это медицинские испытания женских возбудителей… и ему придется в течении недели быть закрытым с девушками… ",8.55
Bousou Shojo,Буйно-мыслящая девственница,Комедия Повседневность Романтика Сейнен Школа Этти ," Макино Яёй, 16 летняя школьница. Она пообещала маме, что не будет заниматься сексом, пока ей не исполнится 20 лет.Но, она уверена, что это обещание под угрозой! Яёй, по ошибке, решила, что её одноклассник, Судзуки-кун, “нацелился на её целомудрие”! И она собирается защищать свою девственность всевозможными “способами”! ",6.0
Seiken Gakuin no Makentsukai,Мастер демонического клинка из академии «Святого Меча»,Исекай Комедия Романтика Сёнен Фэнтези Школа Экшен Этти ," В этой фантастической истории король демонов Леонис запечатал себя на тысячу лет, чтобы подготовиться к финальной битве. Но когда он проснулся, то обнаружил себя в теле 10-летнего мальчишки. Его находит красивая молодая женщина Лизелия из Академии Святого Меча со словами: «Почему тебя заперли в таком месте? Теперь всё в порядке. Старшая сестра позаботится о тебе!». Под заботой Лизелии Леонис обнаруживает, что мир полностью изменился. Ошеломлённый и растерянный Леонис начинает обучаться в Академии Святого Меча. ",8.15
Shaman King,Король Шаман,Драма Комедия Приключения Сверхъестественное Сёнен Супер сила Экшен ," В нашем мире много духов, которых мы не можем видеть, но их видят те, кого называют шаманами. Приближается Великий Турнир шаманов. Шаманы со всего мира со своими духами будут бороться за трон Короля шамана - спасителя мира. Асакура Йо вступает в поединок с духом самурая, чтобы сразиться с другими шаманами и обрести новых друзей. ",8.88
To be Winner,Стать победителем,В цвете Веб Драма Игры Романтика Сёдзе Школа ," Манга удалена по запросу Star Fox Media Group​ В мире онлайна существуют как честные, так и крайне изворотливые игроки. Когда самая известная и непобедимая прежде бандитка на сервере была поймана и брошена в темницу, она поклялась во что бы то ни стало отомстить своему заточителю. Ее враг в сети в реальной жизни же просто обычный пай-мальчик, желающий быть понятым своими близкими.По иронии судьбы, они - пока еще незнакомцы, которым суждено стать не просто самыми известными игроками в киберспорте, но и кем-то бесконечно близким друг другу. ",8.26
Mamahaha no Tsurego ga Motokano Datta,Дочь моей мачехи - моя бывшая девушка,Комедия Повседневность Романтика Сёнен Школа ," Это история о парне и девушке, которые влюбились друг в друга ещё в средней школе. Но вскоре их любовь превратилась во взаимное раздражение, что привело к их расставанию после окончания школы... Кто бы мог подумать, что судьбы Иридо Мидзуто и Айя Юмэ пересекутся вновь в самых неожиданных для них обстоятельствах... Теперь они вынуждены жить под одной крышей, изображая для своих родителей сводных брата и сестру.  Однако оставаясь наедине и предаваясь воспоминаниями о прошлом... Смогут ли они сдержать свой соблазн?! ",7.96
Akazukin no Ookami Deshi,Волк-ученик красной шапочки,Драма Комедия Приключения Сверхъестественное Сёнен ," В этом мире существуют три расы: люди, звери и охотники. Веками звери были добычей охотников, а люди - добычей зверей. Это история о знаменитом и сильном охотнике по прозвищу Красная Шапочка, жизнь которого изменится, после встречи с девочкой-оборотнем. ",8.13
Saijaku Muhai no Bahamut,Хроники непобежденного Бахамута,Гарем Комедия Меха Романтика Сверхъестественное Сёнен Фэнтези Школа Экшен Этти ," Люкс, парень, бывший принцем Империи, разрушенной пять лет назад из-за восстания, встретился с принцессой нового Королевства, Лизшерт, случайно вломившись в ванную девчачьего общежития.""...Сколько ты собираешься пялиться на мое тело, тупицаааааа!"".Древнее оружие, найденное в руинах, Драг-Райды. Люкс, кого в прошлом называли сильнейшим Драг-Рыцарем, теперь известен как ""Слабейший, но Непобежденный"", Драг-Рыцарь, который не нападает вообще. После дуэли, которая началась с вызова от Лизшерт, Люкс в конечном итоге поступил в школу для девушек, в которой обучают Драг-Рыцарей...!История Люкса, в которой он окружен благородными девицами из академии, скоро раскроется.""Последняя"" фантастическая битва, в которой пересекутся право и сила, начинается сейчас! ",7.81
Dark Mortal,Смертельная мгла,В цвете Веб Повседневность Психологическое Сверхъестественное Сейнен Школа ," Из-за пожара Каннам потерял родителей и ослеп. Он не мог видеть ничего, кроме существа по имени Ккамджан. Этот Ккамджан — галлюцинация или нечто большее? «Твои шрамы, твои глаза и даже… твоя сила! Я всё для тебя изменю.» ",9.32
The Abandoned Empress,Брошенная императрица,В цвете Веб Гарем Детектив Драма Исекай Исторический Романтика Сёдзе Фэнтези ," Будучи гордой дочерью семьи Моник, Аристия была воспитана, чтобы стать следующей императрицей Империи Кастина. Но всё разрушилось с появлением одной таинственной девушки: император отвернулся от неё, а несчастная жизнь Аристии была прервана смертью. Однако появился шанс изменить её судьбу, она переродилась семилетним ребёнком! Это сон или реальность? Изменит ли она свою судьбу? ",8.47
Cylcia=Code,Код Цильции,Игры Научная фантастика Сёнен Смена пола Фантастика Фэнтези Школа Этти ," Каната - обычный подросток, который ходит в школу. Все считают его неудачником на фоне его гениального брата. Но в этой манге не пойдет речи о его достижениях в реальной жизни.Однажды, ему приходит письмо от его давней знакомой Хинаты, которая три года назад легла на лечение в больницу в Йокогаме. Но письмо не простое... Это приглашение в игру, о которой так много говорят! Каната, не понимая ничего, пытается разобраться в этом странном письме. Вскоре, он попадает в игру, где встречает Хинату, но в один момент все переворачивается ... Два мира смешались: игровой и реальный. Что же будут делать наши герои, вернувшиеся в реальный мир игровыми персонажами?© antiQuarianN ",8.25
An Uncomfortable Truth,Неудобная правда,В цвете Веб Детектив Драма Мистика Повседневность Психологическое Сейнен Трагедия Триллер Школа ," Произошло зверское убийство восьмерых человек. Общество шокировано, ведь помимо прочего, обвиняемый — ученик старшей школы, едва ли не ребенок. Полиция тщетно пытается вытянуть из него хоть слово, но он упорно молчит в течение нескольких часов, пока наконец не соглашается дать показания. «Я всё расскажу», — какая исповедь последует за этой фразой? Действительно ли убийца — школьник? И если нет, то какую роль он сыграл в этой кровавой истории? ",8.83
Kishuku Gakkou no Juliet,Джульетта из школы-интерната,Комедия Романтика Сёнен Школа Экшен Этти ," Далийская академия, престижная школа-интернат стала домом для студентов из двух враждующих соседних стран. Так появились соответствующие общежития, дом Белого кота и дом Черного пса в ненависти и презрении к друг другу, они постоянно сражаются на территории школы, чтобы доказать своё превосходство. ",8.52
Suteki na Kareshi,Удивительный парень,Комедия Романтика Сёдзе Школа ," С самого детства Нонока мечтает встретить ежегодный новогодний обратный отсчёт вместе с парнем. Теперь она учится в старшей школе и она до сих пор одна! Кто знает, найдёт ли Нонока вторую половинку, ведь на календаре уже Декабрь. ",7.76
Jiisama ga Iku,Старик в параллельном мире,Исекай Приключения Фэнтези ," Эта история рассказывает о 73-летнем владельце чайной плантации Сейтаро Асао. Один бог по ошибке переместил его в другой мир, на место, уготованное его внуку. В этом мире он начинает вторую жизнь, помолодев на 10 лет. Благодаря своей мудрости и «вспомогательной магии» он сможет прожить размеренную жизнь в своём новом доме. ",8.45
Almight Network,Всемогущая сеть,Боевые искусства В цвете Веб Гарем Комедия Психологическое Романтика ," Когда Фань Лин купил новый смартфон,он узнал, что телефонное приложение дало ему специальную социальную сеть - WeChat. В мире сильный пожирает слабого, Лин покоряет лестницу на небеса с этой специальной социальной сетью. ",6.91
Majoukari no Gendai Kyoten,Современная охота на ведьм,Драма Психологическое Романтика Сверхъестественное Сёнен Фэнтези Школа Экшен ," Это мир, где все ведьмы находятся в вечных гонениях.Ведьмы, появившиеся несколько десятилетий назад, стали объектом ереси, теми, кто вредит людям. Мальчик по имени Хаято Арай имел свой взгляд на все это. «Метка ведьмы» внезапно появилась на руке его подруги детства, означавшая, что теперь она и есть ведьма. Хаято изо всех сил старался защитить его подругу детства, однако откуда ни возьмись появляется отряд охотников на ведьм, принадлежащий самой Церки Красной Линии! ",6.2
Renai Boukun,Любовь тирана,Гарем Демоны Комедия Романтика Сверхъестественное Сёнен Школа Этти ," Однажды Грис, девушка-синигами, таинственным образом возникает перед старшеклассником Айнo Сэйдзи и пытается заставить его поцеловать какую-нибудь девушку. Сэйдзи выбирает Грис. Но как это событие воспримет его одноклассница Хияма Аканэ, которая по совместительству типичная яндере*?! Но как только эта любовная история становится слишком скучной, появляется доблестный (но немного проблемный) посланец любви! Этот любовный треугольник становится игрой между жизнью и смертью! Выживет ли Сэйдзи? Давайте же приоткроем занавес этой животрепещущей любовной комедии. *Яндере - архетип из японских манги и аниме. Чаще всего таких девушек называют прилипалами или сталкершами, а ради любви они способны убивать. (Примеры: Юно Гасай - Mirai Nikki; Намиэ Ягири - Drrr!!) ",8.18
Satsuriku no Tenshi,Ангел кровопролития,Дзёсей Драма Психологическое Триллер Ужасы Экшен ," 13-летняя девочка, Рейчел Гарднер, просыпается в странном месте под землей. Она помнит, как шла в больницу, но совсем не понимает, как оказалась здесь. В здании Рейчел встречает серийного маньяка, Зака. Лишившаяся желания жить, Рей умоляет Зака убить ее. Они заключают сделку, по условиям которой Рейчел должна вывести Зака на поверхность, а Зак взамен за это убьет ее. Рей и Заку предстоит пройти 6 этажей, для достижения своей цели, но каждом этаже их поджидает Хозяин этажа, у каждого из которых свои тараканы и планы. Какие же опасности ждут напарников по неволе в жуткой ""игре""? ",8.71
Americano-Exodus,Исход,В цвете Веб Комедия Приключения Сверхъестественное Сёнен Смена пола Фэнтези Экшен ," В мире, где только женщины рождаются со способностью к магии, родился мальчик Амель с такой способностью. В этом мире он должен держать все в тайне, чтобы не оказаться вне закона. ",7.35
Mahouka Koukou no Yuutousei,Почетный Студент Высшей Магической Школы,Магия Научная фантастика Сверхъестественное Сёнен Фантастика Фэнтези ," Добро пожаловать в мир магии и технологий! В этом удивительном месте магию изучают в девяти специализированных школах. И вот, в одну из них поступает странная парочка: сестра, прекрасно умеющая колдовать и считающаяся лучшей студенткой среди первокурсников, и её брат, вроде бы к магии совершенно не способный. Теперь ему придется уживаться среди сверстников, смотрящих на него свысока. Но так ли он прост? ",9.1
Feiai Xuanyan,"Никто, кроме тебя",Дзёсей Драма Комедия Романтика ," Спин-офф маньхуа ""Шальная молодежь"" Удар со 100% мощностью рока!Сможет ли гитарист группы The Death Шан Гуань Фэй сохранить отношения со своей девушкой незапятнаными? Спустя несколько лет, Сяо Цзе, благодаря поддержке Шан Гуаня, обретает уверенность в своих силах и вновь становится популярной певицей. В результате, между ними завязываются отношения. Однако, Сяо решила сконцентрировать внимание на музыкальной карьере и переезжает в дом своего брата. Смогут ли расстояние и слухи пошатнуть любовь Сяо Цзе и Шан Гуаня?.. ",7.0
Kuro no Souzou Shoukanshi,Чёрный призыватель,Гарем Драма Исекай Комедия Магия Сёнен Фэнтези Экшен ," По божьей ошибке, старшеклассник Цугуна умер преждевременно. Взамен ему была дана возможность переродиться в другом мире, полном магии. Он становится ребёнком знатной семьи и получает от бога уникальную магию призыва созданных им существ. Однако, за чёрные волосы и глаза его заклеймили как проклятое дитя, а силы его ещё не пробудились. В итоге всё детство он провёл в тёмном подвале за чтением книг, пока в один прекрасный день не сумел высвободить свои способности. Теперь он наконец-то может выйти во внешний мир вместе с призванным компаньоном и повысить свои навыки! ",7.74
The Sacred Ruins,Священные Руины,Боевые искусства В цвете Веб Демоны Детектив Постапокалиптика Сёнен Фэнтези Экшен ," Манга удалена по запросу Star Fox Media Group​ В постцивилизационную эпоху на земле часто происходили аномалии, и странные плоды появлялись в знаменитых горах и реках. Чу Фэн, студент колледжа, наткнулся на бронзовые горы Куньлунь во время неудачного свидания, неожиданно пробудил род Верховного Короля и открыл путь к господству над практиками! ",8.35
Time Stop Brave,"Герой, останавливающий время",Драма Научная фантастика Приключения Сверхъестественное Сёнен Фантастика Фэнтези Этти ," Кузуно Секай попадает в средневековый фэнтези-мир вместе с игровым контроллером, с помощью которого он может останавливать время, а также таймером обратного отсчёта, с длительностью в 3 дня. Теперь ему предстоит разобраться в механике этого мира и вовремя пройти его. ",8.43
Ore wo Suki nano wa Omae dake ka yo,"Ты единственная, кто любит Великого Меня?!",Драма Комедия Романтика Сёнен Школа ," Что бы вы сделали, если бы девушка, которая вам нравится, призналась бы вам? Кроме того, что если бы это была не одна девушка? Классная старшеклассница, которую обожает вся школа и твоя веселая и жизнерадостная подруга детства. Да ты был бы без ума от счастья. Но, что если возникнет неожиданная проблема из-за содержания этого признания? ",8.51
Otona no Bouguya-san,Взрослая Богуя-Сан,Комедия Повседневность Фантастика Фэнтези Этти ," Каутс (сельский житель), в поиске работы, наткнулся на объявление о необычном магазине снаряжения, хозяин которого желает, чтобы каждая девочка-авантюрист носила эро-доспехи.Но магазин стремится к банкротству и каутс решает помочь хозяину и устраивается туда работать. ",7.5
Ore no Imouto ga Konnani Kawaii Wake ga Nai,Ну не может сестренка быть такой милой,Драма Комедия Повседневность Романтика Сёнен Школа Этти ," Семья Косака – самая обычная ячейка японского общества. Отец – строгий полицейский чиновник, мать – умелая хозяйка, 14-летняя Кирино – спортсменка и отличница, 17-летний Кёсукэ – доморощенный философ. Парень не раз удивлялся, почему последние несколько лет сестра отдалилась от него, свела общение к минимуму и пресекает всякие попытки просто поговорить? В итоге он мудро решил не лезть в тайны женской души и ждать, пока ситуация разрешится сама собой. Она и разрешилась – когда Кёсукэ нашел дома коробку с махо-сёдзё аниме, в которую была вложена игра для взрослых! Сложив два и два, юный детектив вычислил хозяина, и в награду был разбужен среди ночи крепкой оплеухой милой сестренки…Кто бы удивился – виновница ночной побудки оказалась тайной отаку с ярко выраженным сестринским комплексом. Будучи красавицей скорее европейского типа (80-54-85, 160), Кирино давно работает моделью, а гонорары тратит на коллекцию аниме и эрогэ, посвященных отношениям героинь со старшими братьями. Тут-то Кёсукэ и понял смысл слова «сублимация», но на отчаянные протесты сестры спокойно ответил, что хочет понять ее, и в любом случае сохранит тайну. Слово – не воробей, и Кирино тут же объявила, что понять ее брат сможет, только совместно проходя эротические игры! Сможет ли герой выстоять и наладить отношения с сестрой, погрузившись в пугающий мир аниме, манги, эрогэ и косплея – мы скоро узнаем! ",7.24
